ods_code,provider,cancer,care,total_trt,less62wt,more62wt,wtgrp1,wtgrp2,wtgrp3,wtgrp4,wtgrp5,wtgrp6,wtgrp7,wtgrp8,breachpercent,shmi_value,shmi_banding,SHMI_merge,beds_day,bedDay_merge,beds_night,bedNight_merge,_Anaesthetics,_Clinical_oncology,_Emergency_Medicine,_General_medicine_group,_Pathology_group,_Radiology_group,_Surgical_group,hee_region_code,hee_regions,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,totstaff_merge,medstaff_merge,_Nurse_HealthVisitors,_STT,_Support_Clinical,_Support_STT,nonmedstaff_merge,ytd_plan,ytd_actual,finance_merge
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Breast,NON-ADMITTED,5.5,5.5,0,3,2.5,0,0,0,0,0,0,0,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Lung,ALL CARE,9,6,3,3,0,2,1,1.5,1,0,.5,.33333334,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Breast,ALL CARE,40.5,38.5,2,10,13.5,10,5,1,0,1,0,.049382716,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Lower Gastrointestinal,NON-ADMITTED,8,3.5,4.5,0,0,.5,3,.5,2,1,1,.5625,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Lower Gastrointestinal,ADMITTED,13.5,8,5.5,1,0,1,6,3,1,.5,1,.4074074,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Breast,ADMITTED,35,33,2,7,11,10,5,1,0,1,0,.057142857,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Lower Gastrointestinal,ALL CARE,21.5,11.5,10,1,0,1.5,9,3.5,3,1.5,2,.46511629,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Lung,ADMITTED,3.5,2.5,1,1,0,1.5,0,1,0,0,0,.2857143,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Lung,NON-ADMITTED,5.5,3.5,2,2,0,.5,1,.5,1,0,.5,.36363637,1.0700999,2,matched (3),123.5444444444445,matched (3),742.8,matched (3),75.637505,,46.43182,185.43523,,35.299999,174.77684,YDF31, North West,218.71458,5.5500002,11.5875,1.4,116.65,64,,51.724751,2.3545501,,matched (3),matched (3),1075.5417,570.08691,947.3175,246.68668,matched (3),1285,2206,matched (3)
RCF,AIREDALE NHS FOUNDATION TRUST,Lung,ALL CARE,8.5,7.5,1,2.5,1,1.5,2.5,.5,0,0,.5,.11764706,.96560001,2,matched (3),51.08888888888889,matched (3),351.5444444444444,matched (3),28.92,,24.15,85.490463,10.8,8.6999998,45.683498,YDF23, Yorkshire and the Humber,96.091003,4.6999998,25.75,,36.787498,5,14.6,,.61546004,,matched (3),matched (3),573.32672,330.78516,602.11761,177.71576,matched (3),5591,6193,matched (3)
