ods_code,care,numtreat_total,numtreat_less62days,numtreat_more62days,percenttreat_62days,wait_within31,wait_32to38,wait_39to48,wait_49to62,wait_63to76,wait_77to90,wait_91to104,wait_104plus,observed_deaths,expected_deaths,shmi_ind,patient_admissions,beds_day,beds_night,_Chemical_pathology,_Clinical_oncology,_Clinical_radiology,_General_pathology,_Haematology,_Histopathology,_Medical_oncology,hee_region_code,_admin_supp_DNM,_admin_supp_STT,_management_staff,_nursing_staff,_stt_staff,ytd_plan,ytd_actual,hospitalN,rating_Q12,rating_Q16,rating_Q17,rating_Q25,rating_Q31,rating_Q55,rating_Q56,rating_Q59,rating_Q6,planactual_diff,ytd_plan_miss,deficit,regions,nhs_trust,oncology_staff,cat_numtreat_total,cat_patient_admissions,cat_beds_day,cat_beds_night,cat__Chemical_pathology,cat__Clinical_oncology,cat__Clinical_radiology,cat__General_pathology,cat__Haematology,cat__Histopathology,cat__Medical_oncology,cat__admin_supp_DNM,cat__admin_supp_STT,cat__management_staff,cat__nursing_staff,cat__stt_staff,cat_oncology_staff
R1F,ALL CARE,113,96.5,16.5,.8540000000000001,56,10.5,17,13,3.5,6,3.5,3.5,48,42.2952,Above expected,1766,41,259.9555555555556,0,0,6.1500001,0,0,0,0,YDF24,425.79947,46.626671,21.639999,415.09802,44.660007,-4630,-10960,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,6330,Did not financially perform as expected,In deficit, Wessex,ISLE OF WIGHT NHS TRUST,6.1500001,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,None,None,Much lower than average,None,None,None,None,Much lower than average,Much lower than average,Slightly higher than average,Much lower than average,Much lower than average,Much lower than average
R1H,ALL CARE,328.5,281.5,47,.8569,66,32,57.5,126,13,11.5,12.5,10,489,680.18408,Lower than expected,18838,288.5444444444444,1706,0,12.725,101.3,0,25.700001,37.299999,45.109093,YDF28,2568.9766,151.85733,27.099991,3573.8093,314.88977,-82700,-69062,6,Performed better than expected,Performed better than expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed better than expected,Performed better than expected,Performed better than expected,13638,Performed better or as expected financially,In deficit, North Central and East London,BARTS HEALTH NHS TRUST,222.13409,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Slightly higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average
R1K,ALL CARE,221.5,168.5,53,.7606999999999999,50.5,21,33.5,63.5,17,14,10,12,234,248.20171,Lower than expected,10887,111.7777777777778,1135.055555555556,0,0,73.511009,0,22.700001,12.799999,3.8999999,YDF26,1588.4878,123.73332,61.40889,1992.4845,161.57698,-61500,-60384,4,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1116,Performed better or as expected financially,In deficit, North West London,LONDON NORTH WEST HEALTHCARE NHS TRUST,112.91101,Slightly higher than average,Slightly higher than average,Slightly higher than average,Much higher than average,None,None,Much higher than average,None,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average
RA2,ALL CARE,188.5,147,41.5,.7798000000000001,26.5,21.5,29.5,69.5,7.5,8,10,16,301,310.18411,Lower than expected,7400,89.90000000000001,445,0,42.709,13.805,0,0,17,0,YDF29,585.19476,88.398094,18.200001,907.33398,155.47078,-8379,21280,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,12901,Performed better or as expected financially,Not in deficit," Kent, Surrey and Sussex",ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,73.514,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,Much higher than average,Slightly lower than average,None,None,Much higher than average,None,Much lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,Much higher than average
RA3,ALL CARE,85.5,65.5,20,.7661,19.5,10.5,14,21.5,6,8,1,5,71,61.064102,Above expected,2634,22,265,-99,-99,-99,-99,-99,-99,-99,,403.0127,20.3046,0,337.45197,29.546669,-3200,-7185,1,Performed better than expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,3985,Did not financially perform as expected,In deficit,,WESTON AREA HEALTH NHS TRUST,,Much lower than average,Much lower than average,Much lower than average,Much lower than average,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Much lower than average,Much lower than average,None,Much lower than average,Much lower than average,None
RA4,ALL CARE,163,149.5,13.5,.9172,80,20.5,27,22,3,4.5,1.5,4.5,79,68.021797,Above expected,3702,50.97777777777777,333.1666666666667,0,0,8.4444399,0,0,0,0,YDF33,520.94391,14.41654,16.799999,428.86871,42.797142,-15308,-14395,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,913,Performed better or as expected financially,In deficit, South West,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,8.4444399,Slightly lower than average,Much lower than average,Slightly lower than average,Much lower than average,None,None,Much lower than average,None,None,None,None,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,Much lower than average,Much lower than average
RA7,ALL CARE,302.5,246.5,56,.8149,103.5,29.5,38.5,75,14,16.5,9.5,16,351,272.89481,Above expected,12395,143.9222222222222,724.3,0,43.575001,66.099998,0,27.299999,0,0,YDF33,1574.6888,183.25385,27.546671,1377.0159,192.83173,15901,16606,6,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,705,Performed better or as expected financially,Not in deficit, South West,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,136.97501,Slightly higher than average,Much higher than average,Much higher than average,Slightly higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,None,None,Much higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Much higher than average,Much higher than average
RA9,ALL CARE,262,229.5,32.5,.8759999999999999,99.5,30.5,38,61.5,14.5,10,3.5,4.5,201,216.2984,Lower than expected,3405,0,404,0,2.175,15.28,0,0,4.6900001,0,YDF33,1029.3497,98.862663,0,772.71912,132.13866,2276,-10991,1,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,8715,Did not financially perform as expected,In deficit, South West,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,22.145,Slightly higher than average,Much lower than average,None,Much lower than average,None,Slightly higher than average,Slightly lower than average,None,None,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,None,Slightly lower than average,Slightly higher than average,Slightly lower than average
RAE,ALL CARE,236.5,191.5,45,.8097,56.5,19,46,70,21,14,5.5,4.5,238,220.53171,Above expected,6563,113.8555555555556,648.2222222222222,0,0,21.950001,.40000001,9.6999998,11.799999,6.6500001,YDF23,1044.37,117.95361,0,1070.4733,97.946671,9009,10606,5,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,1597,Performed better or as expected financially,Not in deficit, Yorkshire and the Humber,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,50.5,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly higher than average,None,None,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Slightly lower than average,Slightly higher than average
RAJ,ALL CARE,229.5,165,64.5,.7190000000000001,59,16,34,56,21,15,8,20.5,323,247.215,Above expected,8922,31.06666666666667,543.8666666666667,0,0,18.25,0,0,0,22.549999,YDF22,930.04852,74.601997,30.9,870.04846,126.87976,-16174,-10324,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,5850,Performed better or as expected financially,In deficit, East of England,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,40.799999,Slightly higher than average,Slightly higher than average,Much lower than average,Slightly lower than average,None,None,Slightly lower than average,None,None,None,Much higher than average,Slightly lower than average,Slightly lower than average,Much higher than average,Slightly lower than average,Slightly higher than average,Slightly higher than average
